"","listing_id","03","04","05","06","07","09","10","12","08","11"
"322",1133140,7,NA,NA,7,NA,7,NA,25,NA,NA
"323",1145784,NA,NA,NA,NA,NA,16,18,6,NA,2
"324",1146228,16,28,27,28,31,29,31,31,12,30
"325",1152829,NA,NA,NA,NA,NA,21,25,7,NA,3
"326",1161437,NA,NA,NA,21,29,24,31,25,NA,30
"327",1168731,14,14,24,14,9,23,30,3,14,3
"328",1174292,NA,NA,NA,NA,NA,23,31,31,NA,30
"329",1176241,17,30,29,29,29,29,31,31,31,30
"330",1182242,12,16,17,18,15,15,10,16,15,10
"331",1184735,14,24,21,30,12,19,22,25,NA,29
"332",1209383,1,5,NA,14,15,15,17,NA,NA,2
"333",1209661,12,23,31,30,15,18,16,NA,NA,NA
"334",1220946,13,28,28,29,22,16,25,9,6,20
"335",1227155,17,30,31,17,10,16,NA,NA,NA,NA
"336",1230570,17,30,31,30,31,29,31,25,14,30
"337",1248292,10,30,30,23,10,22,29,4,NA,2
"338",1251520,17,30,31,30,31,29,31,31,31,30
"339",1254418,NA,NA,NA,NA,NA,23,31,31,NA,30
"340",1254955,17,30,31,17,31,29,31,10,31,30
"341",1255811,17,30,31,30,22,6,NA,NA,31,NA
"342",1256157,11,2,NA,1,NA,9,5,NA,NA,NA
"343",1256570,17,30,31,30,20,23,31,12,15,19
"344",1263062,14,23,21,20,18,16,13,NA,3,NA
"345",1263329,13,16,13,19,24,25,18,4,16,4
"346",1266548,14,25,24,25,27,26,29,10,23,14
"347",1267730,15,28,30,29,30,24,27,18,10,27
"348",1272747,16,27,20,26,17,24,27,19,24,15
"349",1272897,11,30,31,30,12,6,NA,NA,NA,NA
"350",1273055,17,30,31,29,31,29,31,31,31,30
"351",1274889,13,29,20,21,28,17,23,12,NA,24
"352",1275293,11,15,16,17,11,23,24,16,NA,14
"353",1281843,17,30,31,30,31,29,31,31,31,30
"354",1289823,12,22,25,14,25,20,21,NA,7,9
"355",1296584,17,30,31,30,31,29,31,31,31,30
"356",1297217,12,26,22,27,25,19,28,NA,11,6
"357",1298830,11,8,NA,7,NA,16,6,NA,NA,NA
"358",1302691,6,14,9,9,4,9,7,NA,1,NA
"359",1309325,6,NA,NA,8,9,1,7,26,4,NA
"360",1311739,NA,NA,NA,19,31,NA,NA,NA,31,NA
"361",1316794,17,30,31,30,31,23,16,NA,31,NA
"362",1320674,12,29,31,26,14,28,23,31,31,30
"363",1326972,17,30,31,30,31,29,31,31,31,30
"364",1330726,14,30,31,22,16,28,28,31,1,6
"365",1331106,1,20,31,30,2,29,31,31,2,30
"366",1334684,14,12,31,21,7,16,14,NA,2,1
"367",1335588,3,12,31,11,27,18,7,25,NA,NA
"368",1336818,6,20,3,14,8,18,24,NA,NA,3
"369",1338318,14,28,31,30,31,2,NA,NA,31,NA
"370",1343630,8,NA,NA,6,3,1,5,25,NA,NA
"371",1346747,17,29,30,27,31,21,25,22,20,9
"372",1357593,13,26,25,28,24,26,28,17,26,18
"373",1362092,14,29,29,24,6,20,28,5,NA,6
"374",1362476,16,30,17,30,19,21,21,31,NA,1
"375",1380233,13,26,27,26,12,24,26,10,NA,8
"376",1395084,13,25,25,20,27,30,28,19,31,30
"377",1398273,17,30,31,30,31,29,31,31,31,30
"378",1408400,17,27,23,21,13,24,24,NA,NA,NA
"379",1426027,17,26,25,23,14,19,19,7,NA,NA
"380",1426530,17,26,31,27,19,29,23,26,16,30
"381",1427336,12,25,31,18,6,23,30,NA,NA,22
"382",1430003,13,26,31,24,13,24,18,31,2,30
"383",1431541,12,23,23,25,15,29,29,9,20,NA
"384",1434789,13,24,31,24,16,29,31,30,29,30
"385",1443639,8,3,1,9,1,13,6,NA,NA,NA
"386",1458472,8,16,11,15,8,4,NA,NA,1,NA
"387",1463482,11,26,22,20,24,20,15,NA,12,NA
"388",1473278,17,30,31,22,30,27,10,12,2,NA
"389",1482007,17,30,31,30,31,29,29,31,31,30
"390",1485339,17,30,31,30,31,29,31,31,31,30
"391",1491263,16,30,30,30,30,30,31,31,31,30
"392",1496117,17,30,31,30,31,27,21,NA,31,NA
"393",1500875,16,30,19,23,24,22,22,3,10,11
"394",1507595,17,30,31,30,NA,NA,NA,NA,NA,NA
"395",1518919,NA,NA,NA,NA,NA,21,25,31,NA,30
"396",1522608,17,30,31,10,NA,16,12,NA,NA,NA
"397",1523675,16,21,18,18,6,22,16,25,4,NA
"398",1529540,5,NA,NA,6,NA,NA,NA,NA,NA,NA
"399",1532354,10,20,31,20,31,26,20,31,22,1
"400",1547100,NA,NA,NA,12,4,NA,NA,NA,NA,NA
"401",1569343,14,16,31,27,14,30,27,NA,28,NA
"402",1575287,NA,NA,NA,20,22,23,26,31,13,30
"403",1579108,13,25,28,24,18,26,30,14,25,9
"404",1586115,NA,NA,NA,3,NA,1,NA,26,NA,NA
"405",1593044,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"406",1595592,17,30,31,30,30,29,31,31,31,30
"407",1596257,NA,NA,NA,28,31,29,31,31,31,30
"408",1600919,17,28,29,28,27,23,29,20,31,13
"409",1607436,17,30,31,30,31,29,31,31,31,30
"410",1608296,17,28,30,30,25,26,26,31,25,11
"411",1609815,11,21,NA,21,16,15,8,NA,8,NA
"412",1610861,17,29,29,21,31,23,28,31,28,30
"413",1621371,11,9,20,30,3,21,14,31,1,30
"414",1622564,11,26,31,28,31,13,18,31,5,30
"415",1623202,13,27,27,24,24,23,29,2,25,18
"416",1626586,10,21,6,11,7,20,15,NA,NA,NA
"417",1630249,17,30,31,30,31,29,31,31,31,30
"418",1636170,13,10,21,14,6,15,9,NA,NA,NA
"419",1642412,17,30,27,30,31,26,30,29,31,30
"420",1644183,17,17,31,30,30,29,31,31,31,18
"421",1644403,17,22,24,24,13,20,12,31,14,NA
"422",1659406,9,28,27,24,24,18,21,5,10,NA
"423",1659585,9,27,19,26,22,1,NA,NA,13,NA
"424",1661283,17,30,31,30,31,29,31,31,31,30
"425",1662333,17,30,31,9,NA,NA,NA,NA,NA,NA
"426",1665067,NA,28,28,24,9,29,31,8,NA,30
"427",1680271,10,8,NA,10,8,16,15,NA,NA,NA
"428",1683393,17,30,31,30,31,30,31,31,31,30
"429",1691073,2,21,15,12,24,11,20,NA,3,NA
"430",1695083,5,4,NA,5,2,4,5,NA,NA,NA
"431",1698916,9,5,NA,16,2,10,NA,NA,NA,NA
"432",1710251,17,30,31,30,31,29,31,31,31,30
"433",1710892,NA,NA,NA,20,23,23,21,31,7,26
"434",1716687,NA,NA,NA,19,4,8,NA,NA,8,NA
"435",1731209,3,28,30,7,NA,NA,NA,NA,NA,NA
"436",1737408,14,24,17,10,26,20,18,26,NA,1
"437",1737767,3,23,17,12,7,15,9,NA,NA,NA
"438",1740906,14,23,4,16,16,NA,NA,NA,NA,NA
"439",1742289,17,29,31,30,31,27,28,15,17,21
"440",1749005,NA,NA,NA,NA,NA,23,31,31,NA,30
"441",1750838,15,13,2,5,6,23,19,8,NA,13
"442",1755242,10,14,21,20,25,18,21,NA,12,4
"443",1757983,17,30,31,30,31,29,31,31,31,30
"444",1758199,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
"445",1762237,6,11,14,13,2,9,12,31,NA,NA
"446",1763683,11,30,25,20,17,21,25,11,3,3
"447",1765529,17,30,31,30,29,29,31,31,20,30
